stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
A--100,A--100,067A05,,4.710764784805240000,-74.139791506952600000,0,,0
A--101,A--101,068A05,,4.713006951534190000,-74.143359508925400000,0,,0
A--102,A--102,069A05,,4.712424951515390000,-74.140745840817600000,0,,0
A--103,A--103,070A05,,4.709303284776960000,-74.142573841824600000,0,,0
A--105,A--105,089A04_GM,,4.712374118145740000,-74.125928165839800000,0,,0
A--106,A--106,096A05,,4.687553284186710000,-74.119785162294900000,0,,0
A--107,A--107,110A05,,4.711391951498180000,-74.144008842607200000,0,,0
A--108,A--108,169A05,,4.685938950796660000,-74.112838658244000000,0,,0
A--109,A--109,194A05,,4.690361117612330000,-74.131447502280100000,0,,0
A--110,A--110,201A05,,4.691134950939860000,-74.119999329086300000,0,,0
A--111,A--111,202A05,,4.693749284347010000,-74.123194164266500000,0,,0
A--11113,A--11113,461A00,,4.593094948401580000,-74.069706464930000000,0,,0
A--11114,A--11114,493A00,,4.595568281796420000,-74.067489963502700000,0,,0
A--11115,A--11115,499A00,,4.599628948556520000,-74.065520128894200000,0,,0
A--11116,A--11116,498A00,,4.598078115186310000,-74.064902795160500000,0,,0
A--11117,A--11117,460A00,,4.593276781744050000,-74.069787464987900000,0,,0
A--11119,A--11119,333a13,,4.589481115000940000,-74.076834136156300000,0,,0
A--11120,A--11120,329a13,,4.584994281552350000,-74.077623303318100000,0,,0
A--11121,A--11121,283a13,,4.582663948164990000,-74.078733970689100000,0,,0
A--11122,A--11122,326a13,,4.585276781569870000,-74.080531471828800000,0,,0
A--11123,A--11123,325a13,,4.586923281617370000,-74.082231306228900000,0,,0
A--11124,A--11124,005a13,,4.588742448326380000,-74.083931973967000000,0,,0
A--11125,A--11125,PTI_Bicentenario_CE,,4.593623740320600000,-74.081283645944700000,0,,0
A--11126,A--11126,Altamira,,4.565680724140240000,-74.096584939988300000,0,,0
A--11127,A--11127,Peninsula,,4.565568973960340000,-74.096710332786200000,0,,0
A--11128,A--11128,Plataforma_CE,,4.565466084889810000,-74.096833773685800000,0,,0
A--11129,A--11129,Juan_Rey,,4.565355266294450000,-74.096953854098200000,0,,0
A--11130,A--11130,Tihuaque,,4.565234303000000000,-74.097091345010700000,0,,0
A--11131,A--11131,Resurreccion,,4.565127452362220000,-74.097205479208600000,0,,0
A--11132,A--11132,379A05,,4.694134657897110000,-74.136009560277700000,0,,0
A--11133,A--11133,339A05,,4.694273450994930000,-74.108306988909100000,0,,0
A--11134,A--11134,415A05,,4.716617380894280000,-74.142440989672500000,0,,0
A--11135,A--11135,416A05,,4.715619322310000000,-74.139438042371300000,0,,0
A--11136,A--11136,PR_14-3_CE,,4.580406139701520000,-74.072105475660900000,0,,0
A--11138,A--11138,292A13,,4.580329173203910000,-74.072596919172200000,0,,0
A--11139,A--11139,PIR_BANDERAS,,4.631704594015930000,-74.146209720335900000,0,,0
A--11142,A--11142,DESCARGUE_1,,4.629055442708280000,-74.173509879395600000,0,,0
A--11143,A--11143,116A09,,4.619024276828040000,-74.184463097827600000,0,,0
A--11148,A--11148,165B08,,4.620201782611110000,-74.167576355093800000,0,,0
A--11149,A--11149,314A08,,4.617917615888940000,-74.168455188880000000,0,,0
A--11150,A--11150,133B08,,4.615858615834360000,-74.168020688648900000,0,,0
A--11151,A--11151,134A08,,4.614108115790920000,-74.170429523226800000,0,,0
A--11152,A--11152,313A08,,4.614793615815420000,-74.171868190631800000,0,,0
A--11153,A--11153,174B08,,4.616520782522980000,-74.171870523971400000,0,,0
A--11154,A--11154,176B08,,4.618095115896720000,-74.169660189499700000,0,,0
A--11155,A--11155,167A08,,4.620195115942310000,-74.167283354943400000,0,,0
A--11156,A--11156,270A09,,4.628778282874970000,-74.199008537459700000,0,,0
A--11157,A--11157,248A09,,4.629073116224600000,-74.202846539296600000,0,,0
A--11160,A--11160,285A08,,4.633625949656690000,-74.198369203818300000,0,,0
A--11162,A--11162,390A08,,4.638037116392070000,-74.171694523893700000,0,,0
A--11163,A--11163,528A08,,4.641342783143090000,-74.171465023777900000,0,,0
A--11164,A--11164,530A08,,4.642807949842020000,-74.170297689849400000,0,,0
A--11165,A--11165,531A08,,4.645066283237700000,-74.172638357716900000,0,,0
A--11166,A--11166,532A08,,4.644046616547900000,-74.175023025606300000,0,,0
A--11167,A--11167,399A08,,4.641067449806890000,-74.174005691744900000,0,,0
A--11168,A--11168,388A08,,4.638778949749350000,-74.172695857740300000,0,,0
A--11169,A--11169,386A08,,4.634670116309230000,-74.170369856543500000,0,,0
A--11170,A--11170,288A09,,4.620071449309150000,-74.188687865762700000,0,,0
A--11171,A--11171,256A08,,4.622541949363030000,-74.187513031849900000,0,,0
A--11173,A--11173,267A09,,4.625441449446580000,-74.193083701252300000,0,,0
A--11174,A--11174,268A09,,4.624745116097990000,-74.194920368817900000,0,,0
A--11175,A--11175,258A09,,4.623501449406560000,-74.197824536886400000,0,,0
A--11176,A--11176,254A09,,4.622105116040630000,-74.199461537672900000,0,,0
A--11177,A--11177,255A09,,4.621011616009700000,-74.195491369086300000,0,,0
A--11178,A--11178,265A09,,4.621829616027990000,-74.193133034612300000,0,,0
A--11179,A--11179,293A09,,4.622311782699710000,-74.191234533682200000,0,,0
A--11185,A--11185,362A08,,4.638332116420260000,-74.181783362346900000,0,,0
A--11186,A--11186,525A08,,4.635454283004590000,-74.180394528310300000,0,,0
A--11187,A--11187,144A08,,4.629385616201010000,-74.183882530059800000,0,,0
A--11188,A--11188,280A08,,4.629528616211140000,-74.187355198450700000,0,,0
A--11189,A--11189,281A08,,4.634676949674650000,-74.190709866767400000,0,,0
A--11190,A--11190,293A08,,4.638111283094400000,-74.194394868569500000,0,,0
A--11191,A--11191,290A08,,4.637532949747920000,-74.193367368069800000,0,,0
A--11192,A--11192,353A08,,4.635729949698320000,-74.191500200485700000,0,,0
A--11193,A--11193,282A08,,4.633511282981440000,-74.190166033164800000,0,,0
A--11194,A--11194,279A08,,4.630324616227480000,-74.187865532034300000,0,,0
A--11195,A--11195,143A08,,4.629631616205560000,-74.183257029742100000,0,,0
A--11196,A--11196,097A08,,4.631122116231570000,-74.179884861391300000,0,,0
A--11197,A--11197,332A08,,4.623835782711840000,-74.176821359830600000,0,,0
A--11198,A--11198,239A08,,4.622271782672420000,-74.172703357733500000,0,,0
A--112,A--112,203A05,,4.696910617771540000,-74.127116166508600000,0,,0
A--11200,A--11200,300A09,,4.611182115726040000,-74.174620525376900000,0,,0
A--11201,A--11201,298A09,,4.609254949017150000,-74.176394192941000000,0,,0
A--11202,A--11202,297A09,,4.607719448974420000,-74.175447859122900000,0,,0
A--11203,A--11203,316A09,,4.608545948994240000,-74.172928524503200000,0,,0
A--11204,A--11204,333A09,,4.611812949077510000,-74.173260858016700000,0,,0
A--11206,A--11206,238A08,,4.622340449339270000,-74.172687191062400000,0,,0
A--11208,A--11208,541A08,,4.629919782865470000,-74.177736026972500000,0,,0
A--11209,A--11209,018A08,,4.624725116071830000,-74.178563860715100000,0,,0
A--11210,A--11210,317A08,,4.621093449321270000,-74.182421862657400000,0,,0
A--11211,A--11211,290A09,,4.618207449262120000,-74.188339698922600000,0,,0
A--11212,A--11212,497B09 ,,4.620315056485610000,-74.198412860578500000,0,,0
A--11215,A--11215,318A08,,4.620971782656730000,-74.182273862577400000,0,,0
A--11216,A--11216,019A08,,4.623889616057630000,-74.179213861041800000,0,,0
